,id,left,top,right,bottom,row_index,col_index,API_18,Temp_18,Humidity_18,Precip_18,Wind_18,Vegetation_18,Traffic_18,Building,Altitude,Population_18
84,244,100.639352158271,5.101694625,100.777916222876,4.981694625,13,5,37.5498765818659,28.1697425944806,78.475089679422,3.03319010807272,13.1879796828569,110709.281064001,13638.3383020872,20,27.5340909090909,45.804074365523
85,245,100.639352158271,4.981694625,100.777916222876,4.861694625,14,5,37.7914473024211,28.1456643199706,78.6485819896922,2.96048612977211,12.4826816779655,97708.8862121064,12848.4509120333,409,52.1521739130435,687.370323929892
86,246,100.639352158271,4.861694625,100.777916222876,4.741694625,15,5,37.8378080140087,28.0786165992948,78.8701849062293,2.88520365208896,12.2186649640182,100792.48605058,19408.8820748966,622,26.7272727272727,939.105438472898
87,247,100.639352158271,4.741694625,100.777916222876,4.621694625,16,5,37.3898429818445,28.0628394680078,79.3143387229993,2.91425610903147,11.9612821779898,77905.7022207258,30611.3690702821,78,83.2790697674419,63.6672853786932
88,248,100.639352158271,4.621694625,100.777916222876,4.501694625,17,5,37.040844548251,28.0695863608595,79.6081150383505,2.95073094686335,11.8449366067521,70445.4700341974,35778.7489584885,92,76.1055555555556,61.8052402607104
89,249,100.639352158271,4.501694625,100.777916222876,4.381694625,18,5,36.4080000323656,28.1023768790671,79.9345142236076,3.02951454198191,11.8628514563333,68042.9196797544,41712.4369519234,12,14.2329545454545,38.1610971851762
90,250,100.639352158271,4.381694625,100.777916222876,4.261694625,19,5,35.6384890838783,28.1521433902659,80.3938729683215,3.16836211979347,11.4794204066555,82209.9148995533,40878.6192182755,137,12.5163043478261,195.170678611304
91,251,100.639352158271,4.261694625,100.777916222876,4.141694625,20,5,35.2465239368281,28.1325143984324,80.4819402109198,3.39204971307807,11.8406532661,97486.9942200383,36267.7373464253,615,8.84146341463415,768.62931938071
92,252,100.639352158271,4.141694625,100.777916222876,4.021694625,21,5,34.839580790248,28.0756224282953,80.3053095915829,3.87353056279647,12.991885650073,110122.899826187,28730.9129271723,24,6.42105263157895,127.494720213871
93,253,100.639352158271,4.021694625,100.777916222876,3.901694625,22,5,34.592527402028,28.0262650728451,80.2034690388905,4.31793848987772,13.836506867217,115370.675870513,25332.6275334844,53,6.89887640449438,100.814553422326
