"id","left","top","right","bottom","row_index","col_index","API_18","API_19","Temp_18","Temp_19","Humidity_18","Humidity_19","Precip_18","Precip_19","Wind_18","Wind_19","Vegetation_18","Vegetation_19","Traffic_18","Traffic_19","Building","Altitude","Population_18","Population_19","API_17","Temp_17","Humidity_17","Precip_17","Wind_17","Vegetation_17","Traffic_17","Population_17"
1452,103.341351418078,3.661694625,103.479915482684,3.541694625,25,31,33.7066196411412,55.5000645450299,27.6279148767366,27.8637435622734,84.7187327404725,84.7071615812082,5.13163073024878,6.20449825089461,15.5835660417159,13.2320388064416,251086.756399431,242296.956239182,13409.3995586926,13122.535839744,99,9.19047619047619,246.191998149405,242.444645064524,27.2215465150145,27.8774371953387,85.745609547126,3.51484699988635,15.527787165716,259530.842783084,12528.067031503,254.074007329487
1453,103.341351418078,3.541694625,103.479915482684,3.421694625,26,31,33.8089839497792,55.7548630517487,27.6023734382166,27.86352338684,84.73102683137,84.4979162602228,5.19142741505933,6.28337417257839,15.5359355796993,13.3115914545603,255365.011613938,246464.35664483,12259.8605707018,11854.8221164501,183,11.25,245.094034122441,243.616812551496,27.0832023453028,27.8824035175732,85.5622316182165,3.56336628427508,15.4259219797217,263872.241184771,11824.6363703624,255.557454672385
1454,103.341351418078,3.421694625,103.479915482684,3.301694625,27,31,33.9419674486428,56.0928979700856,27.5386690649253,27.8568146570872,84.902143696197,84.3444627048267,5.25508862280091,6.38519109412,15.5730179442014,13.5752156085872,258831.328998597,250179.017103831,12198.6210697724,11624.6183338289,17,17.1194029850746,21.7648605167045,21.6443756294773,26.8119373369578,27.8706862756783,85.4582005520375,3.6586380342648,15.3776013814625,267577.923910862,11879.5644719914,22.3245130668987
1455,103.341351418078,3.301694625,103.479915482684,3.181694625,28,31,33.9920730195006,56.3666956374854,27.4537797650687,27.8485159158621,85.1960204395495,84.3241007737564,5.29524732013578,6.4770742842238,15.7904191559141,13.9585851910108,268042.396031301,259492.479295941,12104.7500240205,11547.8178910404,11,12.6808510638298,18.9587050744648,18.6525665255704,26.4607720545439,27.846080367317,85.5009013731332,3.77737146277929,15.4924898806853,276935.591748883,11564.6949659281,19.8759101142346
1456,103.341351418078,3.181694625,103.479915482684,3.061694625,29,31,33.9280475110948,56.4778682477805,27.387968154751,27.844508547264,85.4595400354154,84.3735623532811,5.3094209892712,6.54189163289028,16.0325080891228,14.3013122208166,275604.636962249,267015.74152664,10925.8479864045,10617.2075757022,34,14,20.6712429868798,21.3802831197025,26.1595796099029,27.8340941117228,85.609744853497,3.87607190976973,15.6687613507576,284518.990352991,11797.1301935052,21.825361467615
1457,103.341351418078,3.061694625,103.479915482684,2.941694625,30,31,33.7263955360634,56.5552046359927,27.2582006340489,27.830423149443,85.9587449444793,84.5311910109164,5.31486082335637,6.64702786930031,16.5040276964623,14.9266372405217,287260.402248399,278473.536558478,8137.14197907487,8563.66824941002,11,15.014598540146,12.9123040419927,13.8032309746618,25.665095592534,27.8168339557811,85.8850739626459,4.04983470852406,16.0526501579396,296224.932702802,11362.1643751371,13.7476933545926
1458,103.341351418078,2.941694625,103.479915482684,2.821694625,31,31,33.517140648775,56.5509210716426,27.1235042203886,27.8103316649825,86.4505206923516,84.7980656275587,5.2940437291575,6.75075258211867,16.9101715934697,15.5100947400824,297284.004241907,288415.336518567,7654.75552680031,7626.98358323309,25,15.9935897435897,35.3650708260065,35.0765878784545,25.2746056765964,27.7923233353788,86.1827450966805,4.24974271056566,16.4002662880566,305952.617446447,13204.4195131038,37.3820431944612
1459,103.341351418078,2.821694625,103.479915482684,2.701694625,32,31,33.5164934147825,56.3380462682163,27.1346478287032,27.8152006197264,86.4633117513554,85.0503304580067,5.25577585800165,6.80071922225392,16.6486520325758,15.4237850392535,291382.711359555,283209.533667064,8249.97391042031,7432.45719192643,15,23.1513513513514,20.0579512065568,20.234242860027,25.3579462731666,27.7695047258636,86.0909699942001,4.39013227647661,16.1684832873028,299340.03289866,15076.8215669512,20.8953055703962
1460,103.341351418078,2.701694625,103.479915482684,2.581694625,33,31,33.541560327723,55.956803785366,27.1634988103704,27.8013704590653,86.4336854226563,85.4975326757517,5.16943859126108,6.84972662977649,16.1328035543385,15.2380670102018,275010.488188219,267959.680080905,12607.5354911832,10390.559504315,17,77.1590909090909,16.3758781256364,16.0972093763409,25.5544967487386,27.7357653548558,85.9508836616839,4.61464142501969,15.7098234649336,282076.390882317,18154.2842209424,17.159232203256
1461,103.341351418078,2.581694625,103.479915482684,2.461694625,34,31,33.5641916411852,55.5567931462737,27.1757734185043,27.752608485853,86.4518482410597,86.0133711198982,5.05371833752474,6.86915206185609,15.5642366295168,15.0892726380307,254865.997474553,248722.293120645,19061.3366381091,15019.9436348873,1,215.691891891892,1.95080972442162,1.99067067858919,25.7465331176327,27.6999265652589,85.908438868737,4.84842127933422,15.1833132070099,261093.261562649,21288.7112733549,2.09481662753466
